"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"3/13/2026","3/13/2026","3/16/2026","","Mark to market","MTM","","","($14.80)"
"3/13/2026","3/13/2026","3/16/2026","AAPL","AAPL 5/15/2026 Put $175.00","STO","1","$0.69","$68.95"
"3/13/2026","3/13/2026","3/16/2026","AAPL","AAPL 5/15/2026 Put $185.00","BTO","1","$1.07","($107.04)"
"3/13/2026","3/13/2026","3/16/2026","AAPL","AAPL 5/15/2026 Put $175.00","STO","1","$0.69","$68.95"
"3/13/2026","3/13/2026","3/16/2026","AAPL","AAPL 5/15/2026 Put $185.00","BTO","1","$1.07","($107.04)"
"3/13/2026","3/13/2026","3/16/2026","BRKB","BRKB 4/17/2026 Call $525.00","BTC","1","$1.84","($184.04)"
"3/13/2026","3/13/2026","3/16/2026","BRKB","BRKB 4/17/2026 Call $515.00","STC","1","$3.47","$346.95"
"3/13/2026","3/13/2026","3/16/2026","TSLQ","Tradr 2X Short TSLA Daily ETF\nCUSIP: 46092D384","Sell","30","$22.22","$666.45"
"3/12/2026","3/12/2026","3/13/2026","","Mark to market","MTM","","","($4.59)"
"3/12/2026","3/12/2026","3/13/2026","UNG","UNG 4/17/2026 Call $20.00","STO","2","$0.23","$45.91"
"3/12/2026","3/12/2026","3/13/2026","UNG","UNG 4/17/2026 Call $15.00","BTO","2","$0.71","($142.08)"
"3/12/2026","3/12/2026","3/13/2026","JPM","JPM 4/17/2026 Put $235.00","STO","1","$2.15","$214.95"
"3/12/2026","3/12/2026","3/13/2026","JPM","JPM 4/17/2026 Put $250.00","BTO","1","$3.73","($373.04)"
"3/12/2026","3/12/2026","3/13/2026","AAPL","AAPL 4/17/2026 Put $210.00","STO","1","$0.98","$97.95"
"3/12/2026","3/12/2026","3/13/2026","AAPL","AAPL 4/17/2026 Put $235.00","BTO","1","$3.18","($318.04)"
"3/12/2026","3/12/2026","3/13/2026","BRKB","BRKB 4/17/2026 Call $525.00","STO","1","$1.83","$182.95"
"3/12/2026","3/12/2026","3/13/2026","BRKB","BRKB 4/17/2026 Call $515.00","BTO","1","$3.60","($360.04)"
"3/12/2026","3/12/2026","3/13/2026","XLF","XLF 4/17/2026 Put $45.00","BTC","2","$0.60","($120.08)"
"3/12/2026","3/12/2026","3/13/2026","XLF","XLF 4/17/2026 Put $50.00","STC","2","$2.07","$413.91"
