id,ticker,structure,expiry,long_strike,short_strike,opened,closed,imported_pnl,rh_net_cash,discrepancy,n_fills,verdict
209,TSLA,put_spread,2026-02-27,355.0,250.0,2026-02-05,2026-02-13,-271.02,-511.66,-240.64,10,DISCREPANCY
222,XLF,put_spread,2026-06-18,50.0,43.0,2026-02-23,2026-02-27,33.82,240.33,206.51,5,DISCREPANCY
212,TSLA,put_spread,2026-03-20,385.0,365.0,2026-02-13,2026-02-27,14.56,199.82,185.26,4,DISCREPANCY
179,IREN,put_spread,2026-02-27,35.0,25.0,2026-02-06,2026-02-13,-80.52,-199.34,-118.82,6,DISCREPANCY
181,LUV,put_spread,2026-03-20,50.0,41.0,2026-02-18,2026-02-26,103.3,209.64,106.34,6,DISCREPANCY
208,TQQQ,put_spread,2026-03-20,45.0,30.0,2026-02-11,2026-02-12,81.49,187.66,106.17,4,DISCREPANCY
174,IBIT,put_spread,2026-02-27,46.5,33.5,2026-01-30,2026-02-24,-58.54,13.31,71.85,9,DISCREPANCY
207,TQQQ,put_spread,2026-02-27,44.0,30.0,2026-02-13,2026-02-17,86.24,156.5,70.26,6,DISCREPANCY
196,SLV,put_spread,2026-03-20,55.0,46.0,2026-02-13,2026-02-17,71.98,120.32,48.34,8,DISCREPANCY
221,XLE,call_spread,2026-06-18,57.5,70.0,2026-02-13,2026-02-17,-50.51,-88.34,-37.83,4,DISCREPANCY
220,XLE,call_spread,2026-03-20,52.5,60.0,2026-01-14,2026-02-05,168.37,134.55,-33.82,10,DISCREPANCY
194,SIL,put_spread,2026-03-20,90.0,70.0,2026-02-11,2026-02-12,59.73,86.82,27.09,4,DISCREPANCY
165,GDX,put_spread,2026-03-20,95.0,75.0,2026-02-09,2026-02-10,-26.27,-52.18,-25.91,4,DISCREPANCY
189,PLTR,put_spread,2026-03-20,125.0,90.0,2026-02-10,2026-02-20,110.39,128.82,18.43,4,DISCREPANCY
178,INTC,put_spread,2026-03-20,41.0,34.0,2026-02-13,2026-02-17,9.49,23.66,14.17,4,DISCREPANCY
154,AMZN,put_spread,2026-03-20,190.0,140.0,2026-02-06,2026-02-12,56.73,68.82,12.09,4,DISCREPANCY
169,HAL,call_spread,2026-03-20,37.0,42.0,2026-02-19,2026-02-20,-8.53,-14.36,-5.83,6,DISCREPANCY
216,WMT,put_spread,2026-03-20,120.0,90.0,2026-02-05,2026-02-06,-28.27,-33.18,-4.91,4,MINOR
190,PLTR,put_spread,2026-05-15,100.0,65.0,2026-02-13,2026-02-17,4.73,8.82,4.09,4,MINOR
188,PFE,call_spread,2026-06-18,28.0,40.0,2026-02-12,2026-02-17,-18.51,-22.34,-3.83,4,MINOR
186,PBR,put_spread,2026-02-20,14.5,12.0,2026-01-30,2026-02-03,-17.52,-18.34,-0.82,6,MATCH
153,AMZN,call_spread,2026-02-27,217.5,222.5,2026-02-18,2026-02-19,-32.34,-32.34,-0.0,4,MATCH
155,CBRE,call_spread,2026-03-20,155.0,165.0,2026-02-18,2026-02-19,24.82,24.82,-0.0,4,MATCH
156,CRBG,put_spread,2026-07-17,25.0,21.0,2026-02-25,2026-02-26,-30.36,-30.36,-0.0,8,MATCH
157,CRWD,call_spread,2026-02-20,440.0,450.0,2026-02-17,2026-02-18,-23.18,-23.18,0.0,4,MATCH
158,DUK,call_spread,2026-03-20,130.0,135.0,2026-02-06,2026-02-12,36.82,36.82,-0.0,4,MATCH
